Date,Open,High,Low,Close,Adj Close,Volume,Change
24-02-2022,6.3123,6.3298,6.3052,6.3123,6.3123,0,0.0145
25-02-2022,6.3268,6.3268,6.3039,6.3268,6.3268,0,-0.0108
28-02-2022,6.3165,6.3181,6.2992,6.316,6.316,0,-0.0076
01-03-2022,6.3084,6.3135,6.3014,6.3084,6.3084,0,0.0031
02-03-2022,6.3115,6.3215,6.3023,6.3115,6.3115,0,0.0081
03-03-2022,6.3196,6.3201,6.3078,6.3196,6.3196,0,-0.0004
04-03-2022,6.3193,6.3206,6.3057,6.3192,6.3192,0,-0.0025
07-03-2022,6.319,6.3246,6.3091,6.3167,6.3167,0,0.0026
08-03-2022,6.3193,6.3201,6.3038,6.3193,6.3193,0,-0.0017
09-03-2022,6.3176,6.3252,6.3047,6.3176,6.3176,0,-0.001
10-03-2022,6.3166,6.3233,6.3084,6.3166,6.3166,0,0.0042
11-03-2022,6.3208,6.3388,6.3112,6.3208,6.3208,0,0.0179
14-03-2022,6.3387,6.3645,6.3387,6.3387,6.3387,0,0.0258
15-03-2022,6.3646,6.3835,6.3643,6.3645,6.3645,0,0.0046
16-03-2022,6.3691,6.3699,6.3386,6.3691,6.3691,0,-0.0179
17-03-2022,6.3512,6.3516,6.3361,6.3512,6.3512,0,-0.0057
18-03-2022,6.3455,6.3659,6.3455,6.3455,6.3455,0,0.0147
21-03-2022,6.3602,6.3652,6.3434,6.3602,6.3602,0,-0.0057
22-03-2022,6.3545,6.3657,6.3499,6.3545,6.3545,0,0.0108
23-03-2022,6.3653,6.3754,6.3585,6.3653,6.3653,0,0.006
24-03-2022,6.3713,6.3764,6.3596,6.3713,6.3713,0,
