Date,Sentences,Sentiments,Returns(avg)
03-11-2023 12:20,Adani Green's profit increased to Rs 371 crore.,Positive,-0.31
02-11-2023 10:47,𝐅𝐈𝐈𝐬 𝐈𝐧𝐜𝐫𝐞𝐚𝐬𝐞𝐝 𝐒𝐭𝐚𝐤𝐞 𝐝𝐫𝐚𝐬𝐭𝐢𝐜𝐚𝐥𝐥𝐲 𝐢𝐧 𝐭𝐡𝐞𝐬𝐞 𝐬𝐭𝐨𝐜𝐤𝐬 𝐢𝐧 𝐒𝐞𝐩𝐭𝐞𝐦𝐛𝐞𝐫 𝐐𝐮𝐚𝐫𝐭𝐞𝐫: 1. Adani Power 2. IDFC First Bank 3. Coforge 4. Five-Star Business Finance Ltd 5. Birlasoft Ltd,Positive,2.17
02-11-2023 08:24,"Replugging: Adani group has clear links to Howe, misled investors and Deloitte – paywalled",Negative,0.24
02-11-2023 05:26,"Adani's wealth before Modi became CM = 3300 Cr Till the tenure of Modi as CM i.e. in 2014 = 16780 Cr After Modi became PM 2020 = 66000 crores In March 2022 = 6.90 lakh crores And after next 6 months = 12 lakh crores Is this magic, or Modi's corruption?",Negative,-0.09
30-10-2023 15:01,"A spate of recent media revelations has further illuminated the close links between the Adani Group and a shadowy network of Adani confidantes allegedly engaging in round-tripping, money laundering and brazen violations of SEBI laws. Two names have stood out in these revelations —Chang Chung-Ling and Nasser Ali Shaban Ahli",Negative,-0.21
29-10-2023 11:27,Adani is pulling the biggest con job on this country with the help of this government. Now everyone is desperate to somehow keep me out of Lok Sabha using a kangaroo court.,Negative,0.88
28-10-2023 12:08,⁃There has been 4 fold rise in the Modi era in Cargo handling for the Adani Group - The group’s Annual Growth in the sector has been at 14% while the sector has grown at 4% ⁃The group has managed to corner 50% market share amongst ports not in government control ⁃The rise in Adani groups market share has come at the cost of central government’s share falling,Positive,1.65
28-10-2023 11:25,Adani tried to approach Mahua Moitra with money through 2 Loksabha MPs and asked her to stop raising his corruption issue.,Negative,1.65
27-10-2023 14:53,"Complainant apparently asked 14 times for proof and documents to back up his allegations. He provided NOTHING. Ethics Committee on Mahua Moitra's Adani Questions Sees 'Vertical Spilt' between BJP, Opposition",Negative,2.655228817
26-10-2023 07:57,"1. In May 2023, a little-known statutory auditor of Adani Total Gas Ltd resigns. 2. In August 2023, another statutory auditor—this time an internationally known firm—resigns after flagging concerns on financial transactions of Adani Ports. 3. In October 2023, comes news of a third statutory auditor—also a big name in the profession—of five listed Adani Group companies being itself investigated by the National Financial Reporting Authority. ",Negative,-2.383697342
25-10-2023 22:37,Ugly Face of a Corrupt behind Beautiful Mask Exposed! TRUTH WINS! HIT JOB ON ADANI EXPOSED!!,Positive,-2.38
01-02-2023 00:00,"Highlights: Adani Enterprises calls off FPO, says will return money to investors, reports Reuters",Negative,-28.19697659
30-01-2023 00:00,Adani Enterprises share hits upper circuit after 413 page rebuttal of Hindenburg Research report,Positive,2.8
03-10-2023 11:00,After Sellout In Two Adani Energy Stocks; Abu Dhabi's IHC Buy's Stake In Group's Adani Enterprises,Positive,3.25
