,Type,country,Eco_Rate,,,,,,,,
P1,Test,ENG,3.3,,,,,,,,
,OneDay,ENG,6.05,,,,,,,,3countries
,T20,ENG,8.39,,,,,,,,5 player from each country
P2,Test ,ENG,3.04,,,,,,,,for all 3 countries
,OneDay,ENG,5.5,,,,,,,,total 45
,T20,ENG,7.86,,,,,,,,
P3,Test ,ENG,2.95,,,,,,,,
,OneDay,ENG,6,,,,,,,,
,T20,ENG,8.72,,,,,,,,
P4,Test ,ENG,2.95,,,,,,,,
,OneDay,ENG,5.27,,,,,,,,
,T20,ENG,7.63,,,,,,,,
P5,Test ,ENG,,,,,,,,,
,OneDay,ENG,,,,,,,,,
,T20,ENG,,,,,,,,,
P1,Test ,AUS,3.29,,,,,,,,
,OneDay,AUS,5.09,,,,,,,,
,T20,AUS,7.64,,,,,,,,
P2,Test ,AUS,2.65,,,,,,,,
,OneDay,AUS,4.25,,,,,,,,
,T20,AUS,7.22,,,,,,,,
P3,Test ,AUS,3.33,,,,,,,,
,OneDay,AUS,4.84,,,,,,,,
,T20,AUS,7.29,,,,,,,,
P4,Test ,AUS,2.93,,,,,,,,
,OneDay,AUS,4.92,,,,,,,,
,T20,AUS,9.6,,,,,,,,
P5,Test ,AUS,2.73,,,,,,,,
,OneDay,AUS,5.22,,,,,,,,
,T20,AUS,7.38,,,,,,,,
P1,Test ,IND,2.95,,,,,,,,
,OneDay,IND,5.08,,,,,,,,
,T20,IND,6.96,,,,,,,,
P2,Test ,IND,2.69,,,,,,,,
,OneDay,IND,4.64,,,,,,,,
,T20,IND,6.62,,,,,,,,
P3,Test ,IND,2.84,,,,,,,,
,OneDay,IND,4.31,,,,,,,,
,T20,IND,6.21,,,,,,,,
P4,Test ,IND,3.44,,,,,,,,
,OneDay,IND,5.19,,,,,,,,
,T20,IND,6.76,,,,,,,,
P5,Test ,IND,2.78,,,,,,,,
,OneDay,IND,4.94,,,,,,,,
,T20,IND,6.91,,,,,,,,
