nitrogen,weight,Yhat,Errors,,,,
0,41,84.82185239,1920.354747,,,alpha,84.82185239
0,54,84.82185239,949.9865848,,,beta,5.268564234
0,91,84.82185239,38.16950787,,,,
0,70,84.82185239,219.6873083,,,,
20,127,190.1931371,3993.372573,,,,
20,282,190.1931371,8428.500081,,,,
20,149,190.1931371,1696.874542,,,,
20,259,190.1931371,4734.384386,,,,
40,316,295.5644217,417.6128585,,,,
40,240,295.5644217,3087.404964,,,,
40,348,295.5644217,2749.489867,,,,
40,299,295.5644217,11.80319793,,,,
60,371,400.9357064,896.1465192,,,,
60,432,400.9357064,964.9903353,,,,
60,393,400.9357064,62.97543647,,,,
60,419,400.9357064,326.3187023,,,,
80,483,506.3069911,543.2158343,,,,
80,481,506.3069911,640.4437987,,,,
80,619,506.3069911,12699.71425,,,,
80,549,506.3069911,1822.693009,,,,
100,644,611.6782758,1044.693856,,,,
100,553,611.6782758,3443.140049,,,,
100,549,611.6782758,3928.566255,,,,
100,589,611.6782758,514.3041924,,,,
,,,,,,,
,,,55134.84286,,,,
